timestamp,host,cpu,ram,swap
2026-05-18 16:55:23.350,compute1,14.445906639099121,51.87700271606445,2.2827160358428955
2026-05-18 16:55:38.350,compute1,13.791834831237793,51.892818450927734,2.2827160358428955
2026-05-18 16:55:53.350,compute1,17.780668258666992,51.921783447265625,2.2827160358428955
2026-05-18 16:56:08.350,compute1,14.286413192749023,51.88283157348633,2.2827160358428955
2026-05-18 16:56:23.350,compute1,14.450682640075684,51.885372161865234,2.2827160358428955
2026-05-18 16:56:38.350,compute1,13.841150283813477,51.84099578857422,2.2827160358428955
2026-05-18 16:56:53.350,compute1,17.124589920043945,51.88993453979492,2.2827160358428955
2026-05-18 16:57:08.350,compute1,14.519941329956055,51.88191223144531,2.2827160358428955
2026-05-18 16:57:23.350,compute1,14.56057357788086,51.895816802978516,2.2827160358428955
2026-05-18 16:57:38.350,compute1,13.978647232055664,51.88146209716797,2.2827160358428955
2026-05-18 16:57:53.350,compute1,16.956859588623047,51.875526428222656,2.2827160358428955
2026-05-18 16:58:08.350,compute1,14.505794525146484,51.84864044189453,2.2827160358428955
2026-05-18 16:58:23.350,compute1,14.489644050598145,51.759925842285156,2.2827160358428955
2026-05-18 16:58:38.350,compute1,13.872154235839844,51.809814453125,2.2827160358428955
2026-05-18 16:58:53.350,compute1,16.69829559326172,51.84406280517578,2.2827160358428955
2026-05-18 16:59:08.350,compute1,14.797019958496094,51.83021926879883,2.2827160358428955
2026-05-18 16:59:23.350,compute1,14.576078414916992,51.829071044921875,2.2827160358428955
2026-05-18 16:59:38.350,compute1,13.955490112304688,51.83171844482422,2.2827160358428955
2026-05-18 16:59:53.350,compute1,15.991731643676758,51.84843826293945,2.2827160358428955
2026-05-18 17:00:08.350,compute1,14.871320724487305,51.80466079711914,2.2827160358428955
2026-05-18 17:00:23.350,compute1,14.450765609741211,51.80805587768555,2.2827160358428955
2026-05-18 17:00:38.350,compute1,13.973532676696777,51.75957107543945,2.2827160358428955
2026-05-18 17:00:53.350,compute1,15.65919017791748,51.807952880859375,2.2827160358428955
2026-05-18 17:01:08.350,compute1,14.964801788330078,51.80466842651367,2.2827160358428955
2026-05-18 17:01:23.350,compute1,14.491207122802734,51.82719039916992,2.2827160358428955
2026-05-18 17:01:38.350,compute1,14.024981498718262,51.7962646484375,2.2827160358428955
